heart_rate,spo2,ecg,bp_systolic,bp_diastolic
98,93.95130907611504,0.12271164837867587,127,71
111,97.13206883282618,0.7656729813561582,126,89
88,91.99215274894053,0.055624216591241504,93,78
74,98.90215002636174,0.03525965679593446,91,68
102,92.8740959646558,0.1557541628818182,101,69
67,93.67785987756153,0.4986307102848688,124,78
80,90.58091952080349,0.9293809576569219,95,69
98,91.11512212321276,-0.8528732915684687,135,71
117,95.15861902712328,-0.8931307952179657,97,73
78,92.67592676727972,0.875100674814677,110,67
82,98.35480225742194,0.05975125103641221,135,75
70,90.14693388654953,0.22980602913387216,124,76
70,93.79094048671936,-0.035152796810542286,137,79
83,93.37345546769093,-0.812685094785051,104,63
112,90.19327630917601,0.5361787568373331,96,65
95,91.2436839900051,0.49444929017717376,104,71
99,94.13642674918636,-0.376593357014376,134,87
83,94.92864584447446,-0.3875215095431992,95,77
62,94.04289747254869,0.675682761811037,136,66
81,95.30937678412094,-0.8552854845173468,106,64
112,95.95131674905682,0.7622102967131317,93,69
61,90.09923821127836,-0.48667662020817115,111,65
83,94.64095159453504,0.18596949551098785,121,86
103,99.63499240887589,0.8719883580035555,111,73
89,95.19032280129548,0.3562450030732929,116,65
97,96.77542267458954,-0.17114037506592683,135,89
61,93.11863857916883,0.37906841781083034,104,73
119,97.73991378152762,-0.31204072736725963,133,71
80,97.72921481876115,-0.44548316730162774,111,89
92,95.21296047654138,0.9933665558693594,117,86
71,99.76013823279213,0.5015804623595754,131,81
117,91.25550214762653,0.28943995476363527,127,85
81,90.16947664889581,-0.28942071356136245,98,71
103,97.70158211757096,-0.9016783416899037,123,67
84,98.07155537364882,-0.9378862479296888,125,69
108,91.20207229120577,0.10836251089759763,98,75
86,92.65582832958606,0.5240654420781021,104,79
118,90.17552363366629,0.07475838088771014,134,85
101,92.93308610780565,0.6815701438782291,109,67
87,97.73141873918672,-0.9331469338135567,97,68
119,95.17960527712579,-0.2664958471481198,117,72
75,93.48095593168289,-0.5258592176516439,108,88
74,93.71739294906331,-0.10545406368575594,105,79
106,90.01353625715468,-0.855247213611755,100,76
110,92.99800527565236,0.9082632831421451,131,78
103,96.4645874163793,-0.5534891978612781,97,76
114,99.74194443816357,0.8446155509671696,122,66
111,98.47060826983899,-0.14821368992663642,99,87
116,90.2359496464553,0.9710482665104361,107,60
62,98.98560604674839,0.10811676692042149,124,86
96,97.83198413298626,0.8616657283516149,132,79
110,97.8037612357098,-0.9893020226115543,139,88
66,94.57995759003572,0.4964776123618002,92,73
80,93.98005292954502,0.8061013062050308,129,76
68,93.02915728833193,-0.7205588660420919,116,72
98,90.65694858954366,-0.807748296535697,117,88
77,92.282353634937,-0.15085478562808885,135,61
63,92.46603634978024,0.8673578122658703,95,86
84,94.84077069710202,0.08477312038087748,136,73
119,97.47444406596694,0.05491292744346432,103,60
73,94.73809828397947,-0.7177477634013563,96,88
109,90.57844449447161,-0.9984209778135624,99,64
117,99.57789800988203,0.6202801814909225,104,66
68,99.42724319094113,-0.8248508740275236,120,78
85,97.85189543148408,0.26769963747064796,118,73
112,99.9132790156422,0.8292329090303829,131,83
61,95.44482332800263,-0.582696173683138,106,73
79,99.62768350253207,0.3305456724738216,118,74
87,90.7560504061675,-0.8426028465849811,138,64
106,93.65680748261371,0.20751028767522595,133,64
119,92.25381268006765,-0.6721365580935945,104,88
66,91.9583308413427,0.47190712103035604,115,80
103,91.40802948892676,-0.3975374104121836,101,83
67,96.22413641565997,-0.07321798239070754,114,61
106,97.81321855747305,0.1988610840552434,130,77
94,95.7829839942036,-0.6574531786675208,94,89
73,91.4696270958821,0.4832756372352418,93,87
76,98.11123769933471,-0.3947193187263709,133,83
95,96.35954707163728,0.324743719825507,137,68
109,93.88165706126995,-0.6834338986012527,130,86
99,96.74130295536062,0.3762353184127005,120,87
63,92.59904979242833,-0.7436238543790765,92,69
61,93.45192208494211,-0.14928700746003276,92,85
65,99.1748584313199,-0.5055878525222464,115,77
113,92.9050450567142,0.49675049885636513,139,63
101,94.69988268157937,-0.4759299909862509,106,67
63,98.90141137396014,0.7634346127907925,99,77
113,97.07721350267528,0.7836404228132257,91,79
88,90.62203226164702,-0.6071173695544283,113,85
77,91.4730304427897,0.22769189001544854,100,88
85,90.07841590771916,-0.8245647165600714,113,88
103,96.30921790229164,-0.21692580079674162,124,76
93,94.47673425410419,0.4266434590025445,112,75
69,91.34274850902275,0.31884649369983253,121,77
95,99.5793412105677,0.2494013388132159,112,66
73,95.2965972394562,-0.43491827267511285,123,60
90,92.41893294112889,-0.24395010113119597,130,87
107,95.00603571154707,-0.7941077105994276,108,60
74,96.79620332735108,0.438045640867202,91,77
67,90.76239217973564,0.007777593582547038,91,63
73,92.74703815047891,0.4175312646913092,104,82
82,98.06965490883994,-0.5021129504062545,110,79
119,94.5966487040266,-0.35112354272986757,124,80
116,95.46577142032295,-0.3315693254797707,94,79
99,94.32816002209469,-0.9485151805055676,132,63
80,90.43899942643006,-0.3179042543387529,116,84
75,91.65749779820156,0.606609147036067,113,65
104,94.45541638741891,0.794596991499477,96,87
77,92.09185465407928,0.036436631271854925,95,62
106,90.49979028659679,-0.08899660956155953,135,65
112,98.43649664051824,-0.9383507626012595,122,72
83,99.81192529164116,0.7584086751707653,138,82
85,97.9314287399674,-0.9739795731482546,106,66
84,98.53784921704667,0.8895001604204236,135,83
119,92.41977130317045,-0.02156750262381868,131,88
119,99.60626975513199,-0.3161310128505468,119,63
119,91.96925704453429,0.8484368696853202,97,60
104,99.51429810361833,-0.9512180137798065,129,65
100,99.9481929396595,0.1628497897381742,135,83
88,97.1172280574605,0.09786504899867521,96,64
74,99.81143731791822,-0.5613591975772358,95,72
104,95.69539779567104,-0.14222513729957886,93,78
60,92.5954178317609,0.3045280118875404,90,63
84,94.36995885665621,0.454262393763855,104,83
66,95.93560935378785,-0.9985662825868404,120,65
68,90.73081562027015,0.8737068601820306,114,72
83,96.22343264617245,-0.6709492552143752,136,88
60,99.81177836762295,-0.5328391315552816,122,64
103,91.90107649783728,-0.47305310861230354,124,72
67,97.92595116288383,-0.9243597268959294,94,84
83,99.0789879377962,-0.7538957528193502,94,69
70,99.43701592820221,0.972699845888324,125,62
110,99.60135604405447,-0.3695665252454279,106,82
76,95.21459638721473,-0.7693978193219013,103,84
67,99.77307907991504,-0.7860174776507534,118,86
94,97.5731020713444,0.4389199353399438,97,72
94,91.61671436236962,0.7091373280652817,123,86
92,94.7690010646797,-0.48609540098306026,129,71
118,97.18331175372003,-0.9581809753295301,90,63
64,92.47340315819083,-0.5538199631092884,118,69
101,96.40615183548887,-0.8869686184064853,125,85
98,96.66600479046619,-0.793210126739917,126,62
117,91.62699743808565,-0.13698376030471526,118,76
100,95.65085312452756,-0.5401632582767348,94,68
87,97.71626910978608,0.03189175705084679,121,88
66,94.98895664535942,-0.49301249348561926,113,60
68,90.12103116776107,0.8810746022058953,108,77
67,90.09038469079292,0.811887935852529,101,68
71,93.57029343970012,0.13361221002093204,90,80
93,99.26194068431782,-0.29115201602522767,96,79
92,92.28676779603609,-0.23770623593052886,106,84
107,96.34363688871687,-0.1762954337110061,123,68
114,92.22075870693321,0.45515864426988806,132,61
82,93.21669989659549,-0.09672200896232419,96,78
83,98.48042089601483,0.7134598930117948,106,87
96,97.28861442269947,0.8881895718607291,92,75
94,90.9539927731321,-0.3281076932421323,118,62
103,94.28702020986434,0.12138896275136024,111,75
99,90.29169763645264,-0.8098869263348711,127,80
81,94.8089014660301,-0.599061904467282,132,72
86,96.62434011701068,-0.17306846657967978,118,62
94,91.18502623598151,-0.5875945681964423,139,69
60,92.88884938909166,0.7531209815774351,139,81
94,93.97836625502157,-0.6834274878818039,131,77
96,99.1953102465605,-0.08867835689381609,94,65
106,99.93255015422965,0.21139848091975133,119,65
73,90.44911298995616,0.38372781632168884,112,77
62,97.61007923495391,-0.23386126054698653,110,65
60,93.71724066402344,0.7381981374494571,115,65
64,93.9245818622948,0.13663830215585104,136,81
85,97.54264973347023,-0.12098443910489642,110,87
114,99.1842643214541,-0.8655187318959268,109,72
73,99.50928594502548,-0.07062106310966998,112,73
98,95.77122586038321,0.6414716816314605,93,80
86,93.57121159300503,0.22908203644263092,110,66
68,97.8754908585878,0.6643249074582367,110,72
74,92.510013832623,-0.011976658801388762,90,74
74,95.64074028833518,-0.7630765898110363,104,71
85,93.58578461524873,-0.9727203083282379,106,80
101,96.56631073707877,-0.3935609065628176,103,86
119,92.40398912893507,0.39598094299558495,108,60
72,91.91592945734826,0.5805198078833875,139,87
110,99.18239086675437,-0.40849433075934116,123,84
91,91.01803682949537,-0.008692158233505776,95,62
98,95.05957907734931,-0.15776219113183676,134,77
108,92.20852782963009,-0.17895443129714428,138,85
111,90.38929963325667,-0.537302573599699,95,81
91,90.36018818291426,-0.7272577899410833,94,67
63,91.75221772105827,-0.6066228835375738,96,61
89,98.66770354506001,-0.8893352256733078,122,63
96,92.82478743977026,-0.6037385163528459,102,77
82,99.50459170575296,-0.9815982047492411,90,87
98,95.81622292989194,0.2545168012719565,102,87
104,94.36614189768765,-0.36724918522463423,132,84
74,95.80088834669455,0.9462894228538172,116,85
102,95.16698385226267,-0.6125658984474043,96,72
88,97.58776253757325,-0.3083428593808122,92,74
95,92.82496065972852,-0.2843176827169336,114,61
72,93.53050391600303,-0.9830970078750789,122,69
91,98.9409430253325,0.6784159060789179,129,61
66,99.46456513150406,-0.9360110797113506,106,89
118,98.92558227486475,0.8803596694584828,134,88
110,94.19447993957314,0.7841487021872413,103,80
81,97.80365503006881,0.07104383217192711,126,71
87,94.76335733301099,0.08719114982258414,112,64
61,94.97539852146102,0.30755584591231266,113,71
101,92.04680109057284,-0.22589997613022605,118,82
104,95.91130303258517,0.29444456679571096,127,60
116,91.86135897753348,-0.9104632226230263,116,87
112,93.31564699067194,-0.8919047453005469,127,61
65,98.55030201619935,-0.08553916076091128,129,86
87,92.07075809210855,0.09924460221206988,134,75
87,90.71158285173433,0.775635280671638,139,86
103,90.69007592612816,-0.7906787321842075,112,81
103,99.40784520503108,0.6452958543877787,120,61
79,95.06920437961834,-0.5799053254158608,125,75
89,94.09412071817019,-0.21183270297993628,106,79
70,98.10878581007918,-0.3667951303451742,126,85
117,98.35825927910516,-0.19968945426920204,92,75
114,93.32191033115605,-0.6990090038548289,125,65
87,96.93618057473795,0.007140148807109892,94,72
84,97.71122815851886,0.6032851796627345,135,71
98,96.54650686865955,-0.11693197924220611,104,82
92,91.51595074800099,-0.01877284820360181,138,69
60,98.75883083517057,0.6975351705626285,95,64
116,95.39094552736009,0.4121162292760616,99,67
86,92.82472426370003,-0.019091182960430553,121,65
116,94.25228185437695,-0.48460870362164066,112,64
111,90.37571090398907,0.7698534936899333,137,79
72,91.27866801222417,0.1540408033811167,106,81
100,97.65546750515861,-0.5577047797786132,135,65
62,90.00011634755366,-0.4617604947239793,109,81
98,94.16565828482292,0.6062661778724918,133,76
65,95.22510181085589,-0.9117088758250891,130,65
67,90.54634420000973,0.9841843740576401,104,76
86,99.73078162972332,-0.7392966405704164,133,64
68,92.26125331249672,0.5921370507938748,135,82
96,93.04198719636281,-0.21044936645663426,111,76
92,93.03942512255027,-0.015567633425066285,139,88
110,92.3041666211735,0.7613011549291557,95,76
101,90.01473822086311,-0.1741776208215735,93,88
103,97.29344794087996,0.07498750734646897,112,72
83,99.66845499799285,-0.9014006751816601,133,81
74,92.24293483285045,-0.9953050522650937,134,66
118,96.63047191803423,-0.5104002539965482,108,81
113,97.41896326958715,0.36116618583753457,134,80
91,98.48425379090524,-0.7574702132817266,120,65
91,94.22629197013609,-0.7724760823909012,133,88
83,93.02930905640429,-0.17807878392819343,92,73
100,93.25295134023031,0.295674077216453,117,75
111,97.12621333098512,0.424143984495861,92,62
108,98.16779466505636,-0.6430986518032504,103,68
108,91.81613967756603,-0.8408237052559151,107,74
117,93.70941008157766,0.8807940678910884,116,80
111,99.0194019674915,-0.47866723487579654,99,77
71,98.0669351969474,0.7066929952174477,138,89
98,99.84858402762475,0.7269829009256366,104,89
61,97.5424825968208,0.5450451835250889,108,87
62,93.93195201027922,-0.6623327866948598,98,69
108,95.90637833994637,0.6436029185084007,93,69
96,96.6101425424732,0.5385011184831734,104,82
108,90.78455816317124,0.1934459802124342,137,62
115,95.44496959103866,-0.3255959296620945,97,60
76,97.0932082847261,-0.4749827914669118,138,62
118,91.67321304001061,-0.7562215758392821,90,84
108,97.80631717425557,0.019514133801742828,96,64
61,95.83772780514111,0.17052175101969302,120,66
61,99.52221785697594,-0.28132201896842557,107,62
87,90.42422298206891,-0.049281864638262896,101,63
113,92.65326137555466,-0.27297108526146663,137,76
82,96.01553879299824,0.2820121146414025,119,62
96,92.9655991220593,0.8025184155931266,122,82
91,97.14424164071242,-0.6721594759061102,136,63
92,97.59005282521932,-0.23718238019375315,96,61
60,91.02515964066474,-0.7182627920982774,117,73
78,95.13854464206767,0.249887540815664,138,64
61,95.08890555591056,0.45774101897719155,92,80
112,93.6928077021554,0.8638254651949118,132,61
103,99.32924862569672,-0.4422561474780702,95,74
85,98.27506319873221,0.9004224117308604,120,70
91,96.97209381909637,-0.8734746563586504,127,81
65,97.14326635734997,0.20602772672917635,104,69
91,94.61716143813119,-0.88573456131334,96,79
114,99.20994521096576,0.7875483755238897,132,89
63,96.94595427253286,0.0596181141401082,119,60
114,97.28981061655817,0.33869670152559217,116,78
70,98.61690903787346,0.6631478518209051,106,73
115,92.7407158934219,-0.6993787550320625,107,84
118,98.07070903866703,-0.9228168761237323,111,85
76,91.95240602956493,0.7577622918257043,115,82
97,93.45341952244888,-0.37013354508213503,116,88
83,93.35610454269843,-0.7420421841456695,129,81
64,99.78525468389141,-0.06307752582582693,113,73
111,98.56537223747927,0.19661215139203758,97,60
93,97.0116986159026,-0.9380587931549798,110,84
65,97.2705676161539,-0.45020868348582455,118,88
81,95.62072794402572,-0.934400251446208,132,68
70,99.47090667108519,-0.1593292216090021,110,76
107,94.96258752882362,0.7902000581324886,92,73
75,93.80517709869895,0.9653048229871384,120,72
92,91.63035336931591,0.27409510700725503,116,72
68,97.86205652261057,-0.6767246124308164,135,65
119,97.34443932075591,0.8116987799986115,116,66
118,93.84355038524134,0.032495646400120926,98,61
65,90.2519341395923,-0.6925013757941638,122,85
75,98.3899732771801,0.8434533389033227,122,67
88,90.11417983454074,0.514938101446206,115,83
62,97.0369977962905,0.4634105454463031,117,65
79,99.70257109726057,0.41836140758880935,133,84
119,94.37661328148204,-0.5993203578071153,132,62
118,92.34973404995952,-0.5779866165849479,120,77
95,97.04871010043382,0.37658599685451,90,77
78,98.17128142015585,-0.5605544997792062,109,81
85,95.46430316077847,-0.1226566063939023,101,82
62,99.67035275256146,0.5640036511878828,106,65
78,90.51668721657961,0.5679050361956819,104,70
79,95.04795598304528,-0.09347645494828072,123,62
91,97.1845394732255,0.5843798765504902,139,75
66,98.62640471149179,0.6772435923961135,105,64
111,91.7925561190779,0.3095515025685205,93,83
100,98.00003481763682,-0.5431482953831597,97,81
92,95.52707075718546,-0.45197643922890496,123,61
99,93.96553681989963,-0.3703176891825293,135,74
98,91.31715028579093,-0.766391784532096,114,75
77,98.65295758908913,-0.45368075926010976,104,66
99,91.57273208179716,-0.5809615513749358,117,75
60,93.09787859209099,-0.08934250038279568,98,83
70,92.90045531962437,0.8168750957445299,91,63
87,98.71414034190855,-0.7910393664920838,106,87
116,96.72702994208898,0.44053584789479117,99,75
84,97.96681397191372,0.37456600882625546,98,76
109,92.50467898792499,-0.8084916026732847,120,61
82,96.24874099606998,0.8451448098116001,91,75
90,95.71745983143748,0.1369444043136392,113,63
